name,version,status,observable,remoteType,remoteUrl,pkgKinds,httpReachable,httpStatus,handshake,toolsListed,authRequired,toolCount,annotatedTools,readOnlyHint,destructiveHint,idempotentHint,openWorldHint,failReason
io.github.CSOAI-ORG/agent-incident-reporter-mcp,1.0.3,active,false,,,pypi,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.New1Direction/korg-ledger,0.6.3,active,false,,,pypi,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.mholzen/workflowy,0.8.1,active,false,,,oci,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
ai.webrun/webrun,1.0.2,active,true,streamable-http,https://api.webrun.ai/mcp,,true,200,initialize,true,false,21,21,21,14,21,21,
io.github.pipeworx-io/bts,0.1.0,active,true,streamable-http,https://gateway.pipeworx.io/bts/mcp,,true,200,initialize,true,false,34,34,34,34,34,34,
com.auriniaxo/hostel,0.1.0,active,true,streamable-http,https://auriniaxo.com/api/mcp,,true,201,initialize,true,false,5,5,5,2,1,5,
com.fitmysoft/pricing,1.0.0,active,true,streamable-http,https://mcp.fitmysoft.com/mcp,,true,200,initialize,true,false,2,2,2,0,2,2,
com.gamedevoutsourcing.www/directory,1.0.0,active,true,streamable-http,https://www.gamedevoutsourcing.com/api/mcp,,true,200,initialize,true,false,10,10,10,10,10,10,
live.alpic.staging.personal-chef-chatgp-c951fcb6/personal-chef-chatgpt-app,0.0.1,active,true,streamable-http,https://personal-chef-chatgp-c951fcb6.staging.alpic.live,,true,403,,false,true,0,0,0,0,0,0,auth-required-403
io.github.IndigoProtocol/indigo-mcp,0.4.1,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.mcp-dir/tce_sp_certidao_apenados-mcp,0.1.0,active,true,streamable-http,https://api.mcp.ai/p_tce_sp_certidao_apenados,,true,200,initialize,true,false,7,7,7,7,7,7,
io.github.CSOAI-ORG/meok-asc-rspca-crosswalk-mcp,1.0.5,active,false,,,pypi,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
